kecamatan,Jumlah
"4M X 2,5M",1
Cakung,56
Cempaka Putih,10
Cengkareng,35
Cilandak,16
Cilincing,62
Cipayung,28
Ciracas,48
Duren Sawit,42
Gambir,36
Grogol Petamburan,33
Jagakarsa,26
Jatinegara,23
Johar Baru,4
Kalideres,41
Kebayoran Baru,15
Kebayoran Lama,44
Kebon Jeruk,40
Kelapa Gading,27
Kemayoran,31
Kembangan,28
Koja,23
Kr Jati,4
Kramat Jati,23
Makasar,45
Mampang Prapatan,6
Matraman,29
Menteng,12
Pademangan,20
Palmerah,16
Pancoran,24
Pasar Minggu,10
Pasar Rebo,37
Penjaringan,5
Pesanggrahan,27
Pulogadung,31
Sawah Besar,9
Senen,14
Setiabudi,17
Tamansari,46
Tambora,19
Tanah Abang,30
Tanjung Priok,17
Tebet,11
