wilayah,kecamatan,Jumlah
Jakarta Barat,Cengkareng,35
Jakarta Barat,Grogol Petamburan,33
Jakarta Barat,Kalideres,41
Jakarta Barat,Kebon Jeruk,40
Jakarta Barat,Kembangan,28
Jakarta Barat,Palmerah,16
Jakarta Barat,Taman Sari,46
Jakarta Barat,Tambora,19
Jakarta Pusat,Cempaka Putih,10
Jakarta Pusat,Gambir,36
Jakarta Pusat,Johar Baru,4
Jakarta Pusat,Kemayoran,31
Jakarta Pusat,Menteng,12
Jakarta Pusat,Sawah Besar,9
Jakarta Pusat,Senen,14
Jakarta Pusat,Tanah Abang,30
Jakarta Selatan,Cilandak,16
Jakarta Selatan,Jagakarsa,26
Jakarta Selatan,Kebayoran Baru,15
Jakarta Selatan,Kebayoran Lama,44
Jakarta Selatan,Mampang Prapatan,6
Jakarta Selatan,Pancoran,24
Jakarta Selatan,Pasar Minggu,10
Jakarta Selatan,Pesanggrahan,27
Jakarta Selatan,Setiabudi,17
Jakarta Selatan,Tebet,11
Jakarta Timur,Cakung,56
Jakarta Timur,Cipayung,28
Jakarta Timur,Ciracas,48
Jakarta Timur,Duren Sawit,42
Jakarta Timur,Jatinegara,23
Jakarta Timur,Kramat Jati,27
Jakarta Timur,Makasar,45
Jakarta Timur,Matraman,29
Jakarta Timur,Pasar Rebo,37
Jakarta Timur,Pulo Gadung,31
Jakarta Utara,Cilincing,62
Jakarta Utara,Kelapa Gading,27
Jakarta Utara,Koja,23
Jakarta Utara,Pademangan,20
Jakarta Utara,Penjaringan,5
Jakarta Utara,Tanjung Priok,17
