kelurahan,Jumlah
Ancol,8
Angke,4
Balekambang,1
Balimester,1
Bambu Apus,5
Bangka,2
Baru,5
Bendungan Hilir,4
Bidara Cina,2
Bintaro,7
Bukit Duri,4
Bungur,1
Cakung Barat,8
Cakung Timur,5
Cawang,3
Ceger,6
Cempaka Baru,6
Cempaka Putih Barat,2
Cempaka Putih Timur,5
Cengkareng Barat,11
Cengkareng Timur,9
Cibubur,11
Cideng,3
Ciganjur,1
Cijantung,7
Cikini,4
Cikoko,1
Cilandak Barat,6
Cilandak Timur,1
Cilangkap,1
Cililitan,6
Cilincing,19
Cipayung,3
Cipedak,3
Cipete Selatan,2
Cipete Utara,2
Cipinang,5
Cipinang Besar Selatan,3
Cipinang Besar Utara,4
Cipinang Cempedak,6
Cipinang Melayu,16
Cipinang Muara,4
Cipulir,6
Ciracas,10
Dukuh,5
Duren Sawit,10
Duren Tiga,1
Duri Kepa,12
Duri Kosambi,3
Duri Pulo,6
Duri Selatan,3
Duri Utara,1
Gambir,15
Gandaria Selatan,1
Gandaria Utara,2
Gedong,8
Gelora,4
Glodok,5
Grogol,3
Grogol Selatan,6
Grogol Utara,10
Guntur,1
Gunung,2
Gunung Sahari Selatan,4
Gunung Sahari Utara,1
Halim Perdana Kusumah,11
Harapan Mulya,2
Jagakarsa,5
Jati,3
Jati Pulo,2
Jatinegara,10
Jatinegara Kaum,4
Jelambar,8
Jelambar Baru,5
Jembatan Besi,6
Jembatan Lima,1
Joglo,4
Johar Baru,1
Kalianyar,1
Kalibaru,5
Kalibata,5
Kalideres,12
Kalisari,6
Kamal,5
Kamal Muara,1
Kampung Bali,6
Kampung Melayu,2
Kampung Rambutan,10
Kampung Rawa,1
Kapuk,8
Kapuk Muara,2
Karang Anyar,1
Karet,2
Karet Kuningan,1
Karet Semanggi,2
Karet Tengsin,3
Kartini,3
Kayu Manis,1
Kayu Putih,5
Keagungan,3
Kebagusan,1
Kebayoran Lama Selatan,10
Kebayoran Lama Utara,2
Kebon Bawang,2
Kebon Jeruk,5
Kebon Kacang,6
Kebon Kelapa,2
Kebon Kosong,7
Kebon Manggis,23
Kebon Melati,3
Kebon Pala,11
Kedaung Kali Angke,1
Kedoya Selatan,5
Kedoya Utara,7
Kelapa Dua,4
Kelapa Dua Wetan,6
Kelapa Gading Barat,10
Kelapa Gading Timur,12
Kemanggisan,5
Kemayoran,3
Kembangan Selatan,5
Kembangan Utara,6
Kenari,2
Keramat,2
Klender,10
Koja Selatan,3
Koja Utara,1
Kota Bambu Selatan,2
Kota Bambu Utara,2
Kramat Jati,7
Kramat Pela,3
Krukut,5
Kuningan Barat,1
Kuningan Timur,3
Kwitang,3
Lagoa,4
Lebak Bulus,6
Lenteng Agung,5
Lubang Buaya,4
Makasar,3
Malaka Sari,1
Malakajaya,1
Mampang Prapatan,2
Mangga Besar,5
Mangga Dua Selatan,3
Maphar,7
Marunda,6
Menteng,5
Menteng Atas,2
Menteng Dalam,1
Meruya Selatan,2
Meruya Utara,9
Munjul,2
Pademangan Barat,10
Pademangan Timur,2
Palmerah,2
Palmeriam,1
Pancoran,3
Papanggo,3
Pasar Baru,1
Pasar Manggis,5
Pasar Minggu,1
Paseban,4
Pegadungan,10
Pegangsaan,3
Pegangsaan Dua,5
Pejaten Barat,3
Pejaten Timur,2
Pekayon,11
Pekojan,1
Pela Mampang,1
Pengadegan,1
Penggilingan,2
Penjaringan,2
Pesanggrahan,8
Petamburan,4
Petogogan,3
Petojo Selatan,5
Petojo Utara,5
Petukangan Selatan,3
Petukangan Utara,4
Pinang Ranti,4
Pinangsia,14
Pisangan Baru,2
Pisangan Timur,3
Pondok Bambu,3
Pondok Kelapa,11
Pondok Kopi,6
Pondok Labu,1
Pondok Pinang,10
Pondok Ranggon,2
Pool Container,1
Pool Gerobak,1
Pulo Gebang,9
Pulo Gadung,7
Ragunan,2
Rambutan,1
Rawa Badak Selatan,3
Rawa Badak Utara,6
Rawa Barat,1
Rawa Buaya,3
Rawa Terate,21
Rawabunga,1
Rawajati,13
Rawamangun,4
Rawasari,3
Roa Malaka,1
Rorotan,7
Selong,1
Semanan,6
Semper Barat,4
Semper Timur,12
Senayan,1
Senen,2
Serdang,1
Setiabudi,1
Setu,5
Slipi,3
Srengseng,2
Srengseng Sawah,5
Sukabumi Selatan,4
Sukabumi Utara,2
Sukapura,9
Sumur Batu,5
Sungai Bambu,2
Sunter Agung,4
Sunter Jaya,4
Susukan,10
Tamansari,6
Tanah Sereal,1
Tanah Tinggi,2
Tangki,1
Tanjung Barat,7
Tanjung Duren Selatan,2
Tanjung Duren Utara,3
Tanjung Priok,1
Tebet Barat,5
Tebet Timur,1
Tegal Alur,8
Tengah,5
Tomang,4
Tugu Utara,6
Ulujami,5
Utan Kayu Selatan,2
Utan Panjang,3
Warakas,1
Wijaya Kusuma,8
